Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Nombre de pièces, Surface réelle bati, Surface terrain
2014,Vente,1137500,25,RUE,DU SACRE COEUR CAUD,33200,1,5,257,235
2014,Vente,455000,156,RUE,JUDAIQUE,33000,1,5,200,139
2014,Vente,720000,24,RUE,DU TEMPS PASSE,33000,1,6,68,204
2014,Vente,341470,17,RUE,JULES BETBEDER,33200,1,4,110,194
2014,Vente,168750,11,RUE,CONRAD GAUSSEN,33300,1,5,130,224
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,0,0,3992
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,0,0,1000
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,0,2075,3992
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,4,0,2075,1000
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,2,2,45,1000
2014,Vente,3565000,9003,RUE,DU GRAND BARRAIL,33300,2,2,45,3992
2014,Vente,160000,4,RUE,LOUIS BEYDTS,33300,1,4,90,116
2014,Vente,509000,74,RUE,DE SOISSONS,33000,1,6,169,209
2014,Vente,400000,37,RUE,DE COLMAR,33000,1,6,133,184
2014,Vente,355600,3,RUE,COLBERT,33000,1,3,78,58
2014,Vente,237000,1,ALL,BLERIOT,33200,1,4,61,414
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,2,36,118
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,1,29,118
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,1,30,118
2014,Vente,310000,15,RUE,HERIARD DUBREUIL,33000,2,1,27,118
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,2,2,70,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,3,0,0,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,3,0,0,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,3,0,0,83
2014,Vente,240000,4,RUE,CITE CHANTECRIT,33300,2,2,70,83
2014,Vente,200000,133,RUE,JOSEPH BRUNET,33300,1,4,70,115
2014,Vente,200000,33,RUE,BARILLET DESCHAMPS,33300,1,3,60,94
2014,Vente,200000,57,RUE,LEON BLUM,33300,1,3,60,105
2014,Vente,200000,49,RUE,FRANCIS JAMMES,33300,1,4,72,106
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,4,70,131
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,4,70,131
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,4,70,131
2014,Vente,882500,108,CRS,DE VERDUN,33000,2,4,70,131
2014,Vente,300000,15,AV,DE LABARDE,33300,2,2,45,457
2014,Vente,300000,15,AV,DE LABARDE,33300,2,1,22,457
2014,Vente,300000,15,AV,DE LABARDE,33300,2,1,36,457
2014,Vente,300000,15,AV,DE LABARDE,33300,4,0,36,457
2014,Vente,300000,15,AV,DE LABARDE,33300,2,1,28,457
2014,Vente,260000,7,RUE,JEROME MAUVIGNEY,33200,1,3,62,165
2014,Vente,176700,19,RUE,DES PELOURDES,33300,1,3,50,206
2014,Vente,149500,70,CHE,LAFITTE,33300,1,4,120,390
2014,Vente,149500,70,CHE,LAFITTE,33300,3,0,0,390
2014,Vente,421900,99,AV,ALSACE LORRAINE,33200,1,3,95,122
2014,Vente,616600,6,RUE,DE L ILE,33200,1,5,190,591
2014,Vente,424000,12,RUE,ETIENNE LHOSTE,33200,1,4,119,128
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,4,80,106
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,3,80,106
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,1,16,106
2014,Vente,520000,62,RUE,GEORGES MANDEL,33000,2,2,51,106
2014,Vente,380000,54,RUE,DE CAPEYRON CAUD,33200,1,3,80,241
2014,Vente,925500,21,RUE,ERNEST BERSOT,33000,1,10,200,171
2014,Vente,293000,362,RUE,PASTEUR,33200,1,3,110,444
