Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Surface réelle bati, Surface terrain
2014,Vente,300000,18,RUE,PENICAUD,33300,2,46,57
2014,Vente,340000,95,RUE,GUYNEMER CAUD,33200,1,69,445
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,3,0,107
2014,Vente,480000,72,RUE,DAVID JOHNSTON,33000,1,132,149
2014,Vente,257000,21,RUE,PAULIN,33000,4,69,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,30,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,30,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,28,110
2014,Vente,745000,36,RUE,BORIE,33300,4,315,191
2014,Vente,290000,4,RUE,DES HORTENSIAS,33200,1,71,528
2014,Vente,600000,41,RUE,PASTEUR,33200,2,43,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,36,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,74,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,73,185
2014,Vente,600000,41,RUE,PASTEUR,33200,3,0,185
2014,Vente,600000,41,RUE,PASTEUR,33200,3,0,185
2014,Vente,233000,8,RUE,MAURICE RAVEL,33200,1,78,208
2014,Vente,250000,10,RUE,DES LISERONS,33200,1,97,601
2014,Vente,290000,61,AV,RAYMOND POINCARE,33200,1,75,697
2014,Vente,250000,11,RUE,CLAUDE DEBUSSY,33200,1,57,506
2014,Vente,413853,134,RUE,BERNARD ADOUR CAUD,33200,1,110,136
2014,Vente,230000,12,RUE,PIERRE BROSSOLETTE,33200,1,56,211
2014,Vente,320000,298,RUE,PASTEUR,33200,1,85,479
2014,Vente,197750,69,RUE,DU MARECHAL JOFFRE CAUD,33200,1,61,198
2014,Vente,286000,187,RUE,BERNARD ADOUR CAUD,33200,1,103,258
2014,Vente,182938,39,CRS,LOUIS FARGUES,33300,4,1622,1368
2014,Vente,182938,39,CRS,LOUIS FARGUES,33300,4,1119,1368
2014,Vente,389000,262,RUE,JUDAIQUE,33000,1,88,89
2014,Vente,325000,10,RUE,SAINT ETIENNE,33000,1,89,57
2014,Vente,764500,21,RUE,DE LA CROIX BLANCHE,33000,1,270,190
2014,Vente,410000,131,RUE,DE LA LIBERTE,33200,1,100,385
2014,Vente,410000,131,RUE,DE LA LIBERTE,33200,4,361,385
2014,Vente,550000,128,RUE,MANDRON,33000,1,121,238
2014,Vente,550000,223,RUE,JUDAIQUE,33000,1,124,133
2014,Vente,315000,121,RUE,MANDRON,33000,2,76,172
2014,Vente,315000,121,RUE,MANDRON,33000,2,24,172
2014,Vente,315000,121,RUE,MANDRON,33000,2,32,172
2014,Vente,315000,121,RUE,MANDRON,33000,2,27,172
2014,Vente,558200,74,RUE,SURSON,33300,1,140,108
2014,Vente,500000,38,RUE,CAILLOU,33200,1,157,881
2014,Vente,380000,6,RUE,AUGUSTE BRUTAILS,33000,1,135,82
2014,Vente,330000,58,RUE,CHARLES CHAUMET CAUD,33200,1,107,265
2014,Vente,950000,195,AV,MAL DE LATTRE DE TASSIGNY,33200,1,252,611
